1,2,79
2,5,143
3,16,289
4,8,280
5,6,100
6,2,114
7,1,116
8,2,205
9,5,146
10,5,267
11,12,128
12,11,85
13,16,22
14,14,252
15,9,103
16,9,162
17,19,21
18,6,34
19,37,60
20,70,206
21,39,214
22,41,13
23,2,267
24,52,199
25,18,37
26,19,241
27,54,262
28,36,20
29,18,297
30,41,235
31,1,133
32,4,108
33,5,262
34,5,192
35,1,81
36,53,123
37,50,185
38,11,226
39,31,142
40,9,12
41,2,190
42,51,265
43,6,137
44,8,287
45,2,74
46,2,117
47,73,120
48,9,32
49,4,258
50,12,40
51,24,69
52,38,103
53,1,298
54,16,121
55,13,254
56,36,286
57,7,19
58,32,42
59,15,26
60,10,171
61,28,13
62,101,146
63,10,243
64,1,38
65,31,216
66,19,6
67,7,259
68,7,286
69,4,239
70,3,15
71,7,178
72,31,292
73,29,4
74,23,8
75,11,241
76,64,185
77,72,1
78,34,4
79,72,257
80,5,87
81,6,10
82,29,19
83,5,57
84,36,202
85,12,139
86,27,66
87,30,22
88,2,276
89,12,43
90,14,181
91,8,23
92,18,173
93,15,126
94,2,159
95,71,140
96,18,211
97,6,12
98,43,192
99,4,33
100,1,298
