1,4,269
2,68,186
3,8,26
4,19,82
5,8,261
6,8,148
7,50,231
8,18,75
9,5,45
10,2,25
11,7,257
12,5,57
13,11,206
14,3,27
15,27,132
16,167,294
17,13,89
18,74,12
19,56,16
20,102,73
21,15,171
22,24,136
23,48,145
24,19,232
25,9,214
26,26,32
27,17,187
28,10,210
29,22,288
30,6,161
31,21,70
32,46,192
33,23,46
34,5,47
35,20,97
36,2,239
37,28,71
38,9,12
39,30,8
40,20,31
41,18,68
42,23,199
43,2,167
44,8,209
45,2,258
46,6,258
47,23,110
48,31,30
49,20,103
50,234,59
