newksat/1strandom_ksat-2.dimacs
1: 7.09783196449,9.24355602264,True,True,8.17069399357,9.24355602264,16.3413879871
2: 2.92656993866,9.05826401711,True,True,5.99241697788,9.05826401711,11.9848339558
3: 24.2434048653,27.9983170033,True,True,26.1208609343,27.9983170033,52.2417218685
4: 20.9155900478,12.3609440327,True,True,16.6382670403,20.9155900478,33.2765340805
5: 10.4390518665,15.15122509,True,True,12.7951384783,15.15122509,25.5902769566
6: 8.78790092468,0.0113821029663,True,True,4.39964151382,8.78790092468,8.79928302765
7: 12.2466671467,52.6226899624,True,False,38.5580121279,64.8693571091,64.8693571091
8: 6.78469705582,19.6635229588,True,True,13.2241100073,19.6635229588,26.4482200146
9: 9.48900294304,10.1494071484,True,True,9.8192050457,10.1494071484,19.6384100914
10: 12.5477311611,12.646406889,True,True,12.597069025,12.646406889,25.1941380501
11: 11.4993610382,6.1680700779,True,True,8.83371555805,11.4993610382,17.6674311161
12: 27.5918710232,1.99407815933,False,True,15.7900136709,29.5859491825,29.5859491825
13: 4.09269809723,47.0073320866,True,False,27.5963641405,51.1000301838,51.1000301838
14: 9.59419202805,4.27745008469,True,True,6.93582105637,9.59419202805,13.8716421127
15: 44.7808279991,0.708763122559,False,True,23.0991771221,45.4895911217,45.4895911217
16: 73.179035902,14.650550127,False,True,51.240068078,87.8295860291,87.8295860291
17: 0.269742012024,13.2771091461,True,True,6.77342557907,13.2771091461,13.5468511581
18: 4.09649085999,7.225222826,True,True,5.66085684299,7.225222826,11.321713686
19: 5.59527921677,21.033479929,True,True,13.3143795729,21.033479929,26.6287591457
20: 2.12926101685,15.5531671047,True,True,8.84121406078,15.5531671047,17.6824281216
21: 51.5795631409,4.16720795631,True,True,27.8733855486,51.5795631409,55.7467710972
22: 6.51157808304,9.41051101685,True,True,7.96104454994,9.41051101685,15.9220890999
23: 29.3820950985,7.65574717522,True,True,18.5189211369,29.3820950985,37.0378422737
24: 11.8026940823,34.0375318527,True,True,22.9201129675,34.0375318527,45.840225935
25: 49.3635840416,1.80964303017,False,True,26.491435051,51.1732270718,51.1732270718
26: 5.04485607147,7.83422994614,True,True,6.4395430088,7.83422994614,12.8790860176
27: 11.2225530148,2.97711801529,True,True,7.09983551502,11.2225530148,14.19967103
28: 10.9466249943,8.62323713303,True,True,9.78493106365,10.9466249943,19.5698621273
29: 33.4875888824,29.0484361649,True,True,31.2680125237,33.4875888824,62.5360250473
30: 5.00476002693,13.2910158634,True,True,9.14788794518,13.2910158634,18.2957758904
31: 19.0870828629,1.5938539505,True,True,10.3404684067,19.0870828629,20.6809368134
32: 8.38683104515,1.43238186836,True,True,4.90960645676,8.38683104515,9.81921291351
33: 8.67779421806,2.13575100899,True,True,5.40677261353,8.67779421806,10.8135452271
34: 19.6862511635,0.440371990204,True,True,10.0633115768,19.6862511635,20.1266231537
35: 45.26095891,2.44956016541,True,True,23.8552595377,45.26095891,47.7105190754
36: 8.60235118866,14.9125730991,True,True,11.7574621439,14.9125730991,23.5149242878
37: 11.4082570076,25.6789238453,True,True,18.5435904264,25.6789238453,37.0871808529
38: 12.749776125,7.39436197281,True,True,10.0720690489,12.749776125,20.1441380978
39: 10.3716161251,8.98254179955,True,True,9.67707896233,10.3716161251,19.3541579247
40: 17.5469081402,5.24154186249,True,True,11.3942250013,17.5469081402,22.7884500027
41: 16.1171109676,3.26765394211,True,True,9.69238245487,16.1171109676,19.3847649097
42: 9.29672694206,13.8883049488,True,True,11.5925159454,13.8883049488,23.1850318909
43: 10.5446629524,15.1921899319,True,True,12.8684264421,15.1921899319,25.7368528843
44: 56.1054270267,6.16598081589,False,True,34.2186943293,62.2714078426,62.2714078426
45: 5.27820420265,59.3821139336,True,False,34.9692611694,64.6603181362,64.6603181362
46: 0.723746061325,48.0143749714,True,False,24.730933547,48.7381210327,48.7381210327
47: 26.5313959122,3.00792694092,True,True,14.7696614265,26.5313959122,29.5393228531
48: 4.68916201591,17.6196351051,True,True,11.1543985605,17.6196351051,22.308797121
49: 23.6081290245,3.12236499786,True,True,13.3652470112,23.6081290245,26.7304940224
50: 0.147341012955,0.875294208527,True,True,0.511317610741,0.875294208527,1.02263522148
51: 0.613254070282,0.389600038528,True,True,0.501427054405,0.613254070282,1.00285410881
52: 11.2856380939,1.41308403015,True,True,6.34936106205,11.2856380939,12.6987221241
53: 1.22338700294,45.5028960705,True,False,23.9748350382,46.7262830734,46.7262830734
54: 3.86685204506,19.6760520935,True,True,11.7714520693,19.6760520935,23.5429041386
55: 2.41906309128,1.63649010658,True,True,2.02777659893,2.41906309128,4.05555319786
56: 4.71848988533,9.56408786774,True,True,7.14128887653,9.56408786774,14.2825777531
57: 23.5315878391,4.83781194687,True,True,14.184699893,23.5315878391,28.369399786
58: 7.98188400269,10.0441808701,True,True,9.01303243637,10.0441808701,18.0260648727
59: 37.2140710354,1.49117088318,False,True,20.0982064009,38.7052419186,38.7052419186
60: 0.651960849762,20.1379499435,True,True,10.3949553967,20.1379499435,20.7899107933
61: 7.42587304115,11.7521250248,True,True,9.58899903297,11.7521250248,19.1779980659
62: 14.4383032322,11.353664875,True,True,12.8959840536,14.4383032322,25.7919681072
63: 14.5768380165,16.8107728958,True,True,15.6938054562,16.8107728958,31.3876109123
64: 9.06951618195,48.2184760571,True,False,33.1787542105,57.287992239,57.287992239
65: 3.67639803886,2.7207429409,True,True,3.19857048988,3.67639803886,6.39714097977
66: 4.01772499084,27.4029490948,True,True,15.7103370428,27.4029490948,31.4206740856
